DATASET,OPTIMIZER,LOSS,MINI-BATCH SIZE,LEARNING RATE,TRAINING LOSS,TRAINING ACCURACY,TRAINING F1,VALIDATION LOSS,VALIDATION ACCURACY,VALIDATION F1,TOTAL TRAINING TIME,TEST LOSS,TEST ACCURACY,TEST F1,CONVERGED AT EPOCH
circle,sgd,mse,9,0.6457748325074419,0.01751308903301449,0.9633333333333334,0.9632587000268007,0.008822379633784294,1.0,1.0,45.40154480934143,0.0187918022274971,0.972,0.9719575401871858,0.1
circle,sgd,mse,9,1.0772173450159417,0.01744389881596426,0.9544444444444444,0.9542984575034955,0.02542668581008911,0.95,0.9498241382775601,51.55742573738098,0.03302304074168205,0.951,0.9508189063482086,0.1
circle,sgd,mse,9,1.796906831902313,0.019909904168103443,0.9622222222222222,0.9622173676906762,0.016226671636104584,0.97,0.9699548872180452,44.6819429397583,0.021792760118842125,0.97,0.969983173076923,0.04
circle,sgd,mse,9,2.9974212515947047,0.01700890279031848,0.9633333333333334,0.9633299356499356,0.009743980132043362,0.98,0.9799839743589743,43.54247498512268,0.024108417332172394,0.967,0.9669991083499871,0.04
circle,sgd,mse,9,5.0,0.01703780368575311,0.9744444444444444,0.9744158895497941,0.005635508336126804,1.0,1.0,43.50344920158386,0.016282426193356514,0.981,0.9809882953244404,0.04
circle,sgd,mse,10,0.05,0.048437086270294256,0.9733333333333334,0.9733372846530741,0.036034900695085526,0.98,0.98,42.82970881462097,0.05022763833403587,0.974,0.9740043688562957,0.08888888888888889
circle,sgd,mse,10,0.08340502686000296,0.03413724178293099,0.9844444444444445,0.9844465958566654,0.024088485166430473,0.99,0.9900010001000099,41.40246248245239,0.03550044074654579,0.983,0.982998519755114,0.08888888888888889
circle,sgd,mse,10,0.1391279701103562,0.02550103228972552,0.9888888888888889,0.9888894378568291,0.018204670399427414,0.99,0.9900010001000099,40.38007950782776,0.025003286078572273,0.991,0.9909992163409428,0.05555555555555555
circle,sgd,mse,10,0.23207944168063888,0.02091554547053723,0.9844444444444445,0.9844412149811944,0.012049135752022266,1.0,1.0,40.14636254310608,0.019828420132398605,0.987,0.9869958999774725,0.08888888888888889
circle,sgd,mse,10,0.38713184134056344,0.018182400965325644,0.9733333333333334,0.9733056186559371,0.013210228644311428,0.99,0.9899969972975677,39.32794260978699,0.017753662541508675,0.979,0.9789820085673488,0.05555555555555555
circle,sgd,mse,10,0.6457748325074419,0.01791157388641093,0.9655555555555555,0.9654991290369491,0.020731639117002487,0.95,0.9498241382775601,38.833797216415405,0.02212357148528099,0.968,0.967951474499641,0.05555555555555555
circle,sgd,mse,10,1.0772173450159417,0.021666365240357848,0.9566666666666667,0.9566517230112929,0.020019426941871643,0.96,0.9599036531513448,39.611533641815186,0.027884792536497116,0.964,0.9639798076923076,0.03333333333333333
circle,sgd,mse,10,1.796906831902313,0.023162516583997598,0.9566666666666667,0.9565692039199892,0.017585186287760735,0.98,0.9799839743589743,40.59847617149353,0.02270553819835186,0.966,0.9659366830016174,0.022222222222222223
circle,sgd,mse,10,2.9974212515947047,0.017030313609899043,0.9588888888888889,0.9588551753766436,0.0068647717125713825,0.99,0.9899969972975677,39.73977088928223,0.01651846431195736,0.98,0.9799865362499449,0.03333333333333333
